transfer_date,amount,reference_number,outcome_code
20240808,10000,1756bafd41db454a9c724a60fd3ae5f3,0000
20240808,10000,c3959fba687842eea9b5acdfe09c7fe2,0000
20240808,10000,ec79102720f14ec6b9700ca1dcb24dc2,0000
20240809,12222,511dc036bf9049fbbf07e9d4177a6329,0000
20240809,12222,e888554041024b7c9b5a8c56d3eff5ae,0000
20240809,123454,ffc10fbcb16d4a0e9b5fdd16488b86d9,0000
20240809,1234,3925f8304b7d45ef87952699c15a35f9,0000
20240809,111,5aea9b7348d543c59248ca7dd32bd940,0000
20240809,12343,a8a558115ec4497b9a5973bd14146531,0000
20240809,1111,3af174ad37b64280963093c96ca3d6c0,0000
20240809,1111,1f656eb06ca74cfda397bd99dda5d41c,0000
20240808,10000,13f083513ecd4c68842efb0f78bfd087,0000
20240808,10000,416edf1b2de74c63a1fb56ce388b3b89,0000
20240808,10000,75f6868e8ec94286812917116a1da87c,0000
20240809,11213,d04a49ff558143e785137c98902aab60,0000
20240809,123445,e5e73f7379db415a83052d9617439b1d,0000
20240808,10000,6f65ae4b5d0043ca883bbaf3afa8760b,0000
20240808,10000,4173cbfda1b0499aab4a736742be2dbb,0000
20240808,10000,f3012f6fba4542caa0f969b50c55373e,0000
20240808,10000,5f87e084b1d84b8cb25647a78c735a59,0000
20240808,10000,0af7a64322f14ba4ad05d9bbd4177ad9,0000
20240808,10000,4097134da65c441c89e9f05091e653b2,0000
20240809,123445,5856c2844b1845ee8701ecf2a5103b5c,0000
20240808,10000,9aeefbd39fe44400881f7be8ba204f67,0000
20240808,10000,8645d4f17cbd49f49d00ba31421bd851,0000
20240808,10000,b8c471bf8932405db73e767842f2697c,0000
20240808,10000,d99e19b1c60a411da7a7554e4fb59458,0000
20240808,10000,77aea7088c994de5a76f1861cf8e0ba7,0000
20240808,10000,52aaf97133394b8c94308f8775965269,0000
